| Character  | ASCII      | UTF-8      | UTF-16     | UTF-32     |
|------------|------------|------------|------------|------------|
| Control    | 0          | 00         | 0000       | 00000000   |
|------------|------------|------------|------------|------------|
| Control    | 1          | 01         | 0001       | 00000001   |
|------------|------------|------------|------------|------------|
| Control    | 2          | 02         | 0002       | 00000002   |
|------------|------------|------------|------------|------------|
| Control    | 3          | 03         | 0003       | 00000003   |
|------------|------------|------------|------------|------------|
| Control    | 4          | 04         | 0004       | 00000004   |
|------------|------------|------------|------------|------------|
| Control    | 5          | 05         | 0005       | 00000005   |
|------------|------------|------------|------------|------------|
| Control    | 6          | 06         | 0006       | 00000006   |
|------------|------------|------------|------------|------------|
| Control    | 7          | 07         | 0007       | 00000007   |
|------------|------------|------------|------------|------------|
| Control    | 8          | 08         | 0008       | 00000008   |
|------------|------------|------------|------------|------------|
| Control    | 9          | 09         | 0009       | 00000009   |
|------------|------------|------------|------------|------------|
| Control    | 10         | 0A         | 000A       | 0000000A   |
|------------|------------|------------|------------|------------|
| Control    | 11         | 0B         | 000B       | 0000000B   |
|------------|------------|------------|------------|------------|
| Control    | 12         | 0C         | 000C       | 0000000C   |
|------------|------------|------------|------------|------------|
| Control    | 13         | 0D         | 000D       | 0000000D   |
|------------|------------|------------|------------|------------|
| Control    | 14         | 0E         | 000E       | 0000000E   |
|------------|------------|------------|------------|------------|
| Control    | 15         | 0F         | 000F       | 0000000F   |
|------------|------------|------------|------------|------------|
| Control    | 16         | 10         | 0010       | 00000010   |
|------------|------------|------------|------------|------------|
| Control    | 17         | 11         | 0011       | 00000011   |
|------------|------------|------------|------------|------------|
| Control    | 18         | 12         | 0012       | 00000012   |
|------------|------------|------------|------------|------------|
| Control    | 19         | 13         | 0013       | 00000013   |
|------------|------------|------------|------------|------------|
| Control    | 20         | 14         | 0014       | 00000014   |
|------------|------------|------------|------------|------------|
| Control    | 21         | 15         | 0015       | 00000015   |
|------------|------------|------------|------------|------------|
| Control    | 22         | 16         | 0016       | 00000016   |
|------------|------------|------------|------------|------------|
| Control    | 23         | 17         | 0017       | 00000017   |
|------------|------------|------------|------------|------------|
| Control    | 24         | 18         | 0018       | 00000018   |
|------------|------------|------------|------------|------------|
| Control    | 25         | 19         | 0019       | 00000019   |
|------------|------------|------------|------------|------------|
| Control    | 26         | 1A         | 001A       | 0000001A   |
|------------|------------|------------|------------|------------|
| Control    | 27         | 1B         | 001B       | 0000001B   |
|------------|------------|------------|------------|------------|
| Control    | 28         | 1C         | 001C       | 0000001C   |
|------------|------------|------------|------------|------------|
| Control    | 29         | 1D         | 001D       | 0000001D   |
|------------|------------|------------|------------|------------|
| Control    | 30         | 1E         | 001E       | 0000001E   |
|------------|------------|------------|------------|------------|
| Control    | 31         | 1F         | 001F       | 0000001F   |
|------------|------------|------------|------------|------------|
|            | 32         | 20         | 0020       | 00000020   |
|------------|------------|------------|------------|------------|
| !          | 33         | 21         | 0021       | 00000021   |
|------------|------------|------------|------------|------------|
| "          | 34         | 22         | 0022       | 00000022   |
|------------|------------|------------|------------|------------|
| #          | 35         | 23         | 0023       | 00000023   |
|------------|------------|------------|------------|------------|
| $          | 36         | 24         | 0024       | 00000024   |
|------------|------------|------------|------------|------------|
| %          | 37         | 25         | 0025       | 00000025   |
|------------|------------|------------|------------|------------|
| &          | 38         | 26         | 0026       | 00000026   |
|------------|------------|------------|------------|------------|
| '          | 39         | 27         | 0027       | 00000027   |
|------------|------------|------------|------------|------------|
| (          | 40         | 28         | 0028       | 00000028   |
|------------|------------|------------|------------|------------|
| )          | 41         | 29         | 0029       | 00000029   |
|------------|------------|------------|------------|------------|
| *          | 42         | 2A         | 002A       | 0000002A   |
|------------|------------|------------|------------|------------|
| +          | 43         | 2B         | 002B       | 0000002B   |
|------------|------------|------------|------------|------------|
| ,          | 44         | 2C         | 002C       | 0000002C   |
|------------|------------|------------|------------|------------|
| -          | 45         | 2D         | 002D       | 0000002D   |
|------------|------------|------------|------------|------------|
| .          | 46         | 2E         | 002E       | 0000002E   |
|------------|------------|------------|------------|------------|
| /          | 47         | 2F         | 002F       | 0000002F   |
|------------|------------|------------|------------|------------|
| 0          | 48         | 30         | 0030       | 00000030   |
|------------|------------|------------|------------|------------|
| 1          | 49         | 31         | 0031       | 00000031   |
|------------|------------|------------|------------|------------|
| 2          | 50         | 32         | 0032       | 00000032   |
|------------|------------|------------|------------|------------|
| 3          | 51         | 33         | 0033       | 00000033   |
|------------|------------|------------|------------|------------|
| 4          | 52         | 34         | 0034       | 00000034   |
|------------|------------|------------|------------|------------|
| 5          | 53         | 35         | 0035       | 00000035   |
|------------|------------|------------|------------|------------|
| 6          | 54         | 36         | 0036       | 00000036   |
|------------|------------|------------|------------|------------|
| 7          | 55         | 37         | 0037       | 00000037   |
|------------|------------|------------|------------|------------|
| 8          | 56         | 38         | 0038       | 00000038   |
|------------|------------|------------|------------|------------|
| 9          | 57         | 39         | 0039       | 00000039   |
|------------|------------|------------|------------|------------|
| :          | 58         | 3A         | 003A       | 0000003A   |
|------------|------------|------------|------------|------------|
| ;          | 59         | 3B         | 003B       | 0000003B   |
|------------|------------|------------|------------|------------|
| <          | 60         | 3C         | 003C       | 0000003C   |
|------------|------------|------------|------------|------------|
| =          | 61         | 3D         | 003D       | 0000003D   |
|------------|------------|------------|------------|------------|
| >          | 62         | 3E         | 003E       | 0000003E   |
|------------|------------|------------|------------|------------|
| ?          | 63         | 3F         | 003F       | 0000003F   |
|------------|------------|------------|------------|------------|
| @          | 64         | 40         | 0040       | 00000040   |
|------------|------------|------------|------------|------------|
| A          | 65         | 41         | 0041       | 00000041   |
|------------|------------|------------|------------|------------|
| B          | 66         | 42         | 0042       | 00000042   |
|------------|------------|------------|------------|------------|
| C          | 67         | 43         | 0043       | 00000043   |
|------------|------------|------------|------------|------------|
| D          | 68         | 44         | 0044       | 00000044   |
|------------|------------|------------|------------|------------|
| E          | 69         | 45         | 0045       | 00000045   |
|------------|------------|------------|------------|------------|
| F          | 70         | 46         | 0046       | 00000046   |
|------------|------------|------------|------------|------------|
| G          | 71         | 47         | 0047       | 00000047   |
|------------|------------|------------|------------|------------|
| H          | 72         | 48         | 0048       | 00000048   |
|------------|------------|------------|------------|------------|
| I          | 73         | 49         | 0049       | 00000049   |
|------------|------------|------------|------------|------------|
| J          | 74         | 4A         | 004A       | 0000004A   |
|------------|------------|------------|------------|------------|
| K          | 75         | 4B         | 004B       | 0000004B   |
|------------|------------|------------|------------|------------|
| L          | 76         | 4C         | 004C       | 0000004C   |
|------------|------------|------------|------------|------------|
| M          | 77         | 4D         | 004D       | 0000004D   |
|------------|------------|------------|------------|------------|
| N          | 78         | 4E         | 004E       | 0000004E   |
|------------|------------|------------|------------|------------|
| O          | 79         | 4F         | 004F       | 0000004F   |
|------------|------------|------------|------------|------------|
| P          | 80         | 50         | 0050       | 00000050   |
|------------|------------|------------|------------|------------|
| Q          | 81         | 51         | 0051       | 00000051   |
|------------|------------|------------|------------|------------|
| R          | 82         | 52         | 0052       | 00000052   |
|------------|------------|------------|------------|------------|
| S          | 83         | 53         | 0053       | 00000053   |
|------------|------------|------------|------------|------------|
| T          | 84         | 54         | 0054       | 00000054   |
|------------|------------|------------|------------|------------|
| U          | 85         | 55         | 0055       | 00000055   |
|------------|------------|------------|------------|------------|
| V          | 86         | 56         | 0056       | 00000056   |
|------------|------------|------------|------------|------------|
| W          | 87         | 57         | 0057       | 00000057   |
|------------|------------|------------|------------|------------|
| X          | 88         | 58         | 0058       | 00000058   |
|------------|------------|------------|------------|------------|
| Y          | 89         | 59         | 0059       | 00000059   |
|------------|------------|------------|------------|------------|
| Z          | 90         | 5A         | 005A       | 0000005A   |
|------------|------------|------------|------------|------------|
| [          | 91         | 5B         | 005B       | 0000005B   |
|------------|------------|------------|------------|------------|
| \          | 92         | 5C         | 005C       | 0000005C   |
|------------|------------|------------|------------|------------|
| ]          | 93         | 5D         | 005D       | 0000005D   |
|------------|------------|------------|------------|------------|
| ^          | 94         | 5E         | 005E       | 0000005E   |
|------------|------------|------------|------------|------------|
| _          | 95         | 5F         | 005F       | 0000005F   |
|------------|------------|------------|------------|------------|
| `          | 96         | 60         | 0060       | 00000060   |
|------------|------------|------------|------------|------------|
| a          | 97         | 61         | 0061       | 00000061   |
|------------|------------|------------|------------|------------|
| b          | 98         | 62         | 0062       | 00000062   |
|------------|------------|------------|------------|------------|
| c          | 99         | 63         | 0063       | 00000063   |
|------------|------------|------------|------------|------------|
| d          | 100        | 64         | 0064       | 00000064   |
|------------|------------|------------|------------|------------|
| e          | 101        | 65         | 0065       | 00000065   |
|------------|------------|------------|------------|------------|
| f          | 102        | 66         | 0066       | 00000066   |
|------------|------------|------------|------------|------------|
| g          | 103        | 67         | 0067       | 00000067   |
|------------|------------|------------|------------|------------|
| h          | 104        | 68         | 0068       | 00000068   |
|------------|------------|------------|------------|------------|
| i          | 105        | 69         | 0069       | 00000069   |
|------------|------------|------------|------------|------------|
| j          | 106        | 6A         | 006A       | 0000006A   |
|------------|------------|------------|------------|------------|
| k          | 107        | 6B         | 006B       | 0000006B   |
|------------|------------|------------|------------|------------|
| l          | 108        | 6C         | 006C       | 0000006C   |
|------------|------------|------------|------------|------------|
| m          | 109        | 6D         | 006D       | 0000006D   |
|------------|------------|------------|------------|------------|
| n          | 110        | 6E         | 006E       | 0000006E   |
|------------|------------|------------|------------|------------|
| o          | 111        | 6F         | 006F       | 0000006F   |
|------------|------------|------------|------------|------------|
| p          | 112        | 70         | 0070       | 00000070   |
|------------|------------|------------|------------|------------|
| q          | 113        | 71         | 0071       | 00000071   |
|------------|------------|------------|------------|------------|
| r          | 114        | 72         | 0072       | 00000072   |
|------------|------------|------------|------------|------------|
| s          | 115        | 73         | 0073       | 00000073   |
|------------|------------|------------|------------|------------|
| t          | 116        | 74         | 0074       | 00000074   |
|------------|------------|------------|------------|------------|
| u          | 117        | 75         | 0075       | 00000075   |
|------------|------------|------------|------------|------------|
| v          | 118        | 76         | 0076       | 00000076   |
|------------|------------|------------|------------|------------|
| w          | 119        | 77         | 0077       | 00000077   |
|------------|------------|------------|------------|------------|
| x          | 120        | 78         | 0078       | 00000078   |
|------------|------------|------------|------------|------------|
| y          | 121        | 79         | 0079       | 00000079   |
|------------|------------|------------|------------|------------|
| z          | 122        | 7A         | 007A       | 0000007A   |
|------------|------------|------------|------------|------------|
| {          | 123        | 7B         | 007B       | 0000007B   |
|------------|------------|------------|------------|------------|
