Code Point,Character,UTF-8 (Hex),Emacs Key Press,Block
"U+2200","∀","E28880","C-x 8 RET 2200 RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+2201","∁","E28881","C-x 8 RET 2201 RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+2202","∂","E28882","C-x 8 RET 2202 RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+2203","∃","E28883","C-x 8 RET 2203 RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+2204","∄","E28884","C-x 8 RET 2204 RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+2205","∅","E28885","C-x 8 RET 2205 RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+2206","∆","E28886","C-x 8 RET 2206 RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+2207","∇","E28887","C-x 8 RET 2207 RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+2208","∈","E28888","C-x 8 RET 2208 RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+2209","∉","E28889","C-x 8 RET 2209 RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+220A","∊","E2888A","C-x 8 RET 220A RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+220B","∋","E2888B","C-x 8 RET 220B RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+220C","∌","E2888C","C-x 8 RET 220C RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+220D","∍","E2888D","C-x 8 RET 220D RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+220E","∎","E2888E","C-x 8 RET 220E RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+220F","∏","E2888F","C-x 8 RET 220F RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+2210","∐","E28890","C-x 8 RET 2210 RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+2211","∑","E28891","C-x 8 RET 2211 RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+2212","−","E28892","C-x 8 RET 2212 RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+2213","∓","E28893","C-x 8 RET 2213 RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+2214","∔","E28894","C-x 8 RET 2214 RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+2215","∕","E28895","C-x 8 RET 2215 RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+2216","∖","E28896","C-x 8 RET 2216 RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+2217","∗","E28897","C-x 8 RET 2217 RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+2218","∘","E28898","C-x 8 RET 2218 RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+2219","∙","E28899","C-x 8 RET 2219 RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+221A","√","E2889A","C-x 8 RET 221A RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+221B","∛","E2889B","C-x 8 RET 221B RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+221C","∜","E2889C","C-x 8 RET 221C RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+221D","∝","E2889D","C-x 8 RET 221D RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+221E","∞","E2889E","C-x 8 RET 221E RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+221F","∟","E2889F","C-x 8 RET 221F RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+2220","∠","E288A0","C-x 8 RET 2220 RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+2221","∡","E288A1","C-x 8 RET 2221 RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+2222","∢","E288A2","C-x 8 RET 2222 RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+2223","∣","E288A3","C-x 8 RET 2223 RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+2224","∤","E288A4","C-x 8 RET 2224 RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+2225","∥","E288A5","C-x 8 RET 2225 RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+2226","∦","E288A6","C-x 8 RET 2226 RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+2227","∧","E288A7","C-x 8 RET 2227 RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+2228","∨","E288A8","C-x 8 RET 2228 RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+2229","∩","E288A9","C-x 8 RET 2229 RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+222A","∪","E288AA","C-x 8 RET 222A RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+222B","∫","E288AB","C-x 8 RET 222B RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+222C","∬","E288AC","C-x 8 RET 222C RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+222D","∭","E288AD","C-x 8 RET 222D RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+222E","∮","E288AE","C-x 8 RET 222E RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+222F","∯","E288AF","C-x 8 RET 222F RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+2230","∰","E288B0","C-x 8 RET 2230 RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+2231","∱","E288B1","C-x 8 RET 2231 RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+2232","∲","E288B2","C-x 8 RET 2232 RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+2233","∳","E288B3","C-x 8 RET 2233 RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+2234","∴","E288B4","C-x 8 RET 2234 RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+2235","∵","E288B5","C-x 8 RET 2235 RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+2236","∶","E288B6","C-x 8 RET 2236 RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+2237","∷","E288B7","C-x 8 RET 2237 RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+2238","∸","E288B8","C-x 8 RET 2238 RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+2239","∹","E288B9","C-x 8 RET 2239 RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+223A","∺","E288BA","C-x 8 RET 223A RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+223B","∻","E288BB","C-x 8 RET 223B RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+223C","∼","E288BC","C-x 8 RET 223C RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+223D","∽","E288BD","C-x 8 RET 223D RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+223E","∾","E288BE","C-x 8 RET 223E RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+223F","∿","E288BF","C-x 8 RET 223F RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+2240","≀","E28980","C-x 8 RET 2240 RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+2241","≁","E28981","C-x 8 RET 2241 RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+2242","≂","E28982","C-x 8 RET 2242 RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+2243","≃","E28983","C-x 8 RET 2243 RET","Mathematical Operators (U+2200 to U+22FF)" 
"U+2244","≄","E28984","C-x 8 RET 2244 RET","Mathematical Operators (U+2200 to U+22FF)" 
